00:19:09 {"tabID":"maab","player1":"ChexGuy","player2":"Injectoh | Fshaah","score1":"0","score2":"0","match":"Casuals","game":""}
00:44:12 {"tabID":"maab","player1":"Syrorin","player2":"Lo-Fi Yokai | LP","score1":"0","score2":"0","match":"Winners Round 1","game":""}
00:47:46 {"tabID":"maab","player1":"Syrorin","player2":"Lo-Fi Yokai | LP","score1":"0","score2":"1","match":"Winners Round 1","game":""}
00:50:43 {"tabID":"maab","player1":"Syrorin","player2":"Lo-Fi Yokai | LP","score1":"0","score2":"2","match":"Winners Round 1","game":""}
00:52:01 {"tabID":"maab","player1":"Injectoh | Fshaah","player2":"Lo-Fi Yokai | LP","score1":"0","score2":"0","match":"Winners Quarters","game":""}
00:53:29 {"tabID":"maab","player1":"Injectoh (White) | Fshaah","player2":"Lo-Fi Yokai | LP","score1":"0","score2":"0","match":"Winners Quarters","game":""}
00:53:59 {"tabID":"maab","player1":"Injectoh (White) | Fshaah","player2":"Lo-Fi Yokai (Pink) | LP","score1":"0","score2":"0","match":"Winners Quarters","game":""}
00:56:48 {"tabID":"maab","player1":"Injectoh (White) | Fshaah","player2":"Lo-Fi Yokai (Pink) | LP","score1":"0","score2":"1","match":"Winners Quarters","game":""}
00:57:49 {"tabID":"maab","player1":"Injectoh (Red) | Fshaah","player2":"Lo-Fi Yokai (Pink) | LP","score1":"0","score2":"1","match":"Winners Quarters","game":""}
01:00:56 {"tabID":"maab","player1":"Injectoh (Red) | Fshaah","player2":"Lo-Fi Yokai (Pink) | LP","score1":"1","score2":"1","match":"Winners Quarters","game":""}
01:03:49 {"tabID":"maab","player1":"Injectoh (Red) | Fshaah","player2":"Lo-Fi Yokai (Pink) | LP","score1":"2","score2":"1","match":"Winners Quarters","game":""}
01:04:56 {"tabID":"maab","player1":"HARD_BREAD","player2":"AyoItsDave | SUCC","score1":"0","score2":"0","match":"Winners Semis","game":""}
01:08:08 {"tabID":"maab","player1":"HARD_BREAD","player2":"AyoItsDave | SUCC","score1":"0","score2":"1","match":"Winners Semis","game":""}
01:11:29 {"tabID":"maab","player1":"HARD_BREAD","player2":"AyoItsDave | SUCC","score1":"0","score2":"2","match":"Winners Semis","game":""}
01:16:54 {"tabID":"maab","player1":"nyczbrandon | UBW","player2":"Injectoh (Red) | Fshaah","score1":"0","score2":"0","match":"Winners Semis","game":""}
01:16:59 {"tabID":"maab","player1":"nyczbrandon | UBW","player2":"Injectoh | Fshaah","score1":"0","score2":"0","match":"Winners Semis","game":""}
01:21:15 {"tabID":"maab","player1":"nyczbrandon | UBW","player2":"Injectoh | Fshaah","score1":"0","score2":"1","match":"Winners Semis","game":""}
01:25:56 {"tabID":"maab","player1":"nyczbrandon | UBW","player2":"Injectoh | Fshaah","score1":"0","score2":"2","match":"Winners Semis","game":""}
01:29:53 {"tabID":"maab","player1":"Arklancer","player2":"nyczbrandon | UBW","score1":"0","score2":"0","match":"Winners Semis","game":""}
01:30:12 {"tabID":"maab","player1":"Arklancer","player2":"nyczbrandon | UBW","score1":"0","score2":"0","match":"Losers Quarters","game":""}
01:33:05 {"tabID":"maab","player1":"Arklancer","player2":"nyczbrandon | UBW","score1":"0","score2":"1","match":"Losers Quarters","game":""}
01:37:26 {"tabID":"maab","player1":"Arklancer","player2":"nyczbrandon | UBW","score1":"1","score2":"1","match":"Losers Quarters","game":""}
01:39:49 {"tabID":"maab","player1":"Arklancer","player2":"nyczbrandon | UBW","score1":"2","score2":"1","match":"Losers Quarters","game":""}
01:40:59 {"tabID":"maab","player1":"Injectoh | Fshaah","player2":"AyoItsDave | SUCC","score1":"0","score2":"0","match":"Winners Finals","game":""}
01:42:08 {"tabID":"maab","player1":"Injectoh | Fshaah","player2":"AyoItsDave | SUCC","score1":"0","score2":"0","match":"Winners Finals","game":""}
01:45:54 {"tabID":"maab","player1":"Injectoh | Fshaah","player2":"AyoItsDave | SUCC","score1":"1","score2":"0","match":"Winners Finals","game":""}
01:48:23 {"tabID":"maab","player1":"Injectoh | Fshaah","player2":"AyoItsDave | SUCC","score1":"1","score2":"1","match":"Winners Finals","game":""}
01:53:51 {"tabID":"maab","player1":"HARD_BREAD","player2":"Arklancer","score1":"0","score2":"0","match":"Losers Semis","game":""}
01:56:49 {"tabID":"maab","player1":"HARD_BREAD","player2":"Arklancer","score1":"1","score2":"0","match":"Losers Semis","game":""}
01:59:32 {"tabID":"maab","player1":"HARD_BREAD","player2":"Arklancer","score1":"2","score2":"0","match":"Losers Semis","game":""}
01:59:44 {"tabID":"maab","player1":"HARD_BREAD","player2":"AyoItsDave | SUCC","score1":"0","score2":"0","match":"Losers Finals","game":""}
02:05:57 {"tabID":"maab","player1":"HARD_BREAD","player2":"AyoItsDave | SUCC","score1":"1","score2":"0","match":"Losers Finals","game":""}
02:07:45 {"tabID":"maab","player1":"HARD_BREAD","player2":"AyoItsDave | SUCC","score1":"1","score2":"2","match":"Losers Finals","game":""}
02:09:58 {"tabID":"maab","player1":"Injectoh | Fshaah","player2":"AyoItsDave (L) | SUCC","score1":"0","score2":"0","match":"Grand Finals","game":""}
02:12:56 {"tabID":"maab","player1":"Injectoh | Fshaah","player2":"AyoItsDave (L) | SUCC","score1":"0","score2":"1","match":"Grand Finals","game":""}
02:12:57 {"tabID":"maab","player1":"Injectoh | Fshaah","player2":"AyoItsDave (L) | SUCC","score1":"0","score2":"1","match":"Grand Finals","game":""}
02:16:17 {"tabID":"maab","player1":"Injectoh | Fshaah","player2":"AyoItsDave (L) | SUCC","score1":"0","score2":"2","match":"Grand Finals","game":""}
