00:04:23 {"tabID":"kof","player1":"","player2":"","score1":"0","score2":"0","match":"Winners","game":""}
00:11:19 {"tabID":"kof","player1":"Milky J | DATA","player2":"Shadow780","score1":"0","score2":"0","match":"Winners Quarters","game":""}
00:11:38 {"tabID":"kof","player1":"Milky J | DATA","player2":"Shadow780","score1":"0","score2":"0","match":"Winners Quarters","game":""}
00:13:31 {"tabID":"kof","player1":"Milky J | DATA","player2":"Shadow780","score1":"0","score2":"0","match":"Winners Quarters","game":""}
00:14:37 {"tabID":"kof","player1":"Milky J | DATA","player2":"Shadow780","score1":"1","score2":"0","match":"Winners Quarters","game":""}
00:18:24 {"tabID":"kof","player1":"Milky J | DATA","player2":"Shadow780","score1":"1","score2":"1","match":"Winners Quarters","game":""}
00:21:45 {"tabID":"kof","player1":"Milky J | DATA","player2":"Shadow780","score1":"2","score2":"1","match":"Winners Quarters","game":""}
00:23:13 {"tabID":"kof","player1":"pachukof | PAG","player2":"CombTurt","score1":"0","score2":"0","match":"Winners Quarters","game":""}
00:25:36 {"tabID":"kof","player1":"pachukof | PAG","player2":"CombTurt","score1":"1","score2":"0","match":"Winners Quarters","game":""}
00:31:47 {"tabID":"kof","player1":"Aroo","player2":"Milky J | DATA","score1":"0","score2":"0","match":"Winners Semis","game":""}
00:36:20 {"tabID":"kof","player1":"Aroo","player2":"Milky J | DATA","score1":"0","score2":"1","match":"Winners Semis","game":""}
00:39:26 {"tabID":"kof","player1":"Aroo","player2":"Milky J | DATA","score1":"0","score2":"2","match":"Winners Semis","game":""}
00:42:44 {"tabID":"kof","player1":"AirLancer","player2":"Zeal","score1":"0","score2":"0","match":"Winners Quarters","game":""}
00:44:22 {"tabID":"kof","player1":"AirLancer","player2":"Zeal","score1":"0","score2":"0","match":"Winners Quarters","game":""}
00:49:01 {"tabID":"kof","player1":"AirLancer","player2":"Zeal","score1":"1","score2":"0","match":"Winners Quarters","game":""}
00:54:27 {"tabID":"kof","player1":"AirLancer","player2":"Zeal","score1":"2","score2":"0","match":"Winners Quarters","game":""}
00:54:46 {"tabID":"kof","player1":"AirLancer","player2":"pachukof | PAG","score1":"0","score2":"0","match":"Winners Semis","game":""}
00:59:49 {"tabID":"kof","player1":"AirLancer","player2":"pachukof | PAG","score1":"1","score2":"0","match":"Winners Semis","game":""}
01:07:13 {"tabID":"kof","player1":"A3Religion","player2":"Shadow780","score1":"0","score2":"0","match":"Losers","game":""}
01:07:36 {"tabID":"kof","player1":"A3Religion","player2":"Shadow780","score1":"0","score2":"0","match":"Losers Round 2","game":""}
01:11:05 {"tabID":"kof","player1":"A3Religion","player2":"Shadow780","score1":"1","score2":"0","match":"Losers Round 2","game":""}
01:14:05 {"tabID":"kof","player1":"A3Religion","player2":"Shadow780","score1":"1","score2":"1","match":"Losers Round 2","game":""}
01:17:28 {"tabID":"kof","player1":"A3Religion","player2":"Shadow780","score1":"1","score2":"2","match":"Losers Round 2","game":""}
01:22:24 {"tabID":"snk","player1":"Aroo","player2":"SonicSol","score1":"0","score2":"0","match":"FT7 Exhibition","game":""}
01:30:32 {"tabID":"snk","player1":"Aroo","player2":"SonicSol","score1":"1","score2":"0","match":"FT7 Exhibition","game":""}
01:33:43 {"tabID":"snk","player1":"Aroo","player2":"SonicSol","score1":"2","score2":"0","match":"FT7 Exhibition","game":""}
01:36:46 {"tabID":"snk","player1":"Aroo","player2":"SonicSol","score1":"3","score2":"0","match":"FT7 Exhibition","game":""}
01:40:24 {"tabID":"snk","player1":"Aroo","player2":"SonicSol","score1":"4","score2":"0","match":"FT7 Exhibition","game":""}
01:44:06 {"tabID":"snk","player1":"Aroo","player2":"SonicSol","score1":"5","score2":"0","match":"FT7 Exhibition","game":""}
01:48:07 {"tabID":"snk","player1":"Aroo","player2":"SonicSol","score1":"6","score2":"0","match":"FT7 Exhibition","game":""}
